Designator,Mid X,Mid Y,Rotation,Layer
C1,86.25,32.25,90.0,top
CN5,96.73,43.514,90.0,top
CN6,48.47,36.91,270.0,top
CN8,48.47,16.59,270.0,top
CN9,96.73,19.13,90.0,top
J1,86.5,8.5,90.0,top
J2,84.19,57.25,90.0,top
J3,49.98,53.5,0.0,top
J4,66.83,16.75,90.0,top
J5,70.29,34.5,90.0,top
J7,65.4,57.25,90.0,top
PWR1,58.75,8.5,0.0,top
R1,53.25,8.5,180.0,top
R2,90.3,48.0,0.0,top
R3,90.3,45.5,180.0,top
R4,63.5,23.25,0.0,top
RESET1,86.35,21.0,0.0,top
