C1:1
C10:1
C2:1
C29:1
C3:1
C32:1
C33:1
C34:1
C35:1
C36:1
C4:1
C5:1
C6:1
C7:1
C9:1
J1:1
J10:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
PWR1:1
R1:1
R13:1
R14:1
R15:1
R16:1
R17:1
R2:1
R3:1
R4:1
R5:1
R6:1
REF**:2
SW1:1
SW2:1
U1:1
U3:1
U4:1
U8:1
Y1:1
